"LINEAGE_AT1PERCENT","DATE_NUM_AT1PERCENT","DATE_AT1PERCENT","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Omicron (BA.1) - Omicron (BA.5)",-0.209834604400147,0.0425933248766435,NA,-0.293315987140182,-0.126353221660112,0.000129249573401546
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Alpha",0.168193272196442,0.00271908176014646,NA,0.162863969875535,0.173522574517349,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Beta",0.249708272179375,0.0135622007684875,NA,0.223126847122038,0.276289697236712,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Gamma",0.20595819106725,0.0072550758350334,NA,0.191738503725478,0.220177878409022,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Delta",0.0168709337192191,0.000717982901067843,NA,0.0154637130916106,0.0182781543468277,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Omicron (BA.2)",-0.21945040069618,0.00260440144468283,NA,-0.224554933729043,-0.214345867663318,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Omicron (BA.3)",-0.147811019443245,0.00987886179212706,NA,-0.167173232764063,-0.128448806122428,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Omicron (BA.1.1, with S:R346K)",-0.134957298919485,0.00291896863671657,NA,-0.140678372319452,-0.129236225519519,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Omicron (BA.4)",-0.268830981233431,0.0142709214892311,NA,-0.296801473378523,-0.240860489088339,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Other - Omicron (BA.5)",-0.313886810621073,0.0426311870381433,NA,-0.397442401834025,-0.230331219408122,1.00426800209164e-09
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Beta",0.0815149999829333,0.0135361207938582,NA,0.0549846907365874,0.108045309229279,8.93634608645222e-07
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Gamma",0.0377649188708081,0.00719895333724761,NA,0.0236552296034184,0.0518746081381978,3.23897570935205e-05
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Delta",-0.151322338477223,0.00295719829705964,NA,-0.157118340634603,-0.145526336319843,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Omicron (BA.2)",-0.387643672892622,0.00386684712651423,NA,-0.395222553994312,-0.380064791790932,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Omicron (BA.3)",-0.316004291639687,0.0102840397252023,NA,-0.336160639116663,-0.295847944162712,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Omicron (BA.1.1, with S:R346K)",-0.303150571115927,0.00408567660892799,NA,-0.311158350121904,-0.295142792109951,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Omicron (BA.4)",-0.437024253429873,0.0145543315772387,NA,-0.465550219140315,-0.408498287719431,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Alpha - Omicron (BA.5)",-0.482080082817515,0.0427268973653269,NA,-0.565823262824696,-0.398336902810335,4.59632332194815e-14
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Gamma",-0.0437500811121252,0.0152288120053531,NA,-0.0735980041699485,-0.0139021580543019,0.143567230377172
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Delta",-0.232837338460156,0.0136006059416887,NA,-0.259494036273788,-0.206180640646525,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Omicron (BA.2)",-0.469158672875556,0.0138273762599667,NA,-0.496259832345775,-0.442057513405337,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Omicron (BA.3)",-0.397519291622621,0.016792777818569,NA,-0.430432531347399,-0.364606051897842,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Omicron (BA.1.1, with S:R346K)",-0.384665571098861,0.0138899225650694,NA,-0.411889319074447,-0.357441823123274,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Omicron (BA.4)",-0.518539253412806,0.0196993000652097,NA,-0.557149172061265,-0.479929334764348,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Beta - Omicron (BA.5)",-0.563595082800449,0.0447417463085678,NA,-0.651287294170669,-0.475902871430228,6.43929354282591e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Gamma - Delta",-0.189087257348031,0.00735288348424066,NA,-0.203498644159662,-0.1746758705364,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Gamma - Omicron (BA.2)",-0.42540859176343,0.00776339908249876,NA,-0.440624574362739,-0.410192609164122,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Gamma - Omicron (BA.3)",-0.353769210510496,0.0122913306225219,NA,-0.377859775852713,-0.329678645168278,3.5527136788005e-15
"Omicron (BA.1.1, with S:R346K)",18966,2021-12-05,"Gamma - Omicron (BA.1.1, with S:R346K)",-0.340915489986735,0.00787462035354115,NA,-0.356349462271602,-0.325481517701869,3.5527136788005e-15
