"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2.76) - Delta","Europe",0.148134567449296,0.0053677584686927,NA,0.137613954172948,0.158655180725643,0
"Omicron (BA.2.76) - Omicron (BA.1)","Europe",0.201017251768261,0.0053671626171247,NA,0.190497806339527,0.211536697196995,0
"Omicron (BA.2.76) - Omicron (BA.2)","Europe",0.105928034168101,0.00533881319984715,NA,0.0954641525762137,0.116391915759989,0
"Omicron (BA.2.76) - Omicron (BA.3)","Europe",0.0930890380387791,0.00573501876049735,NA,0.0818486078175428,0.104329468260016,0
"Omicron (BA.2.76) - Omicron (BA.4)","Europe",0.035152972459307,0.00534718167930303,NA,0.0246726889490806,0.0456332559695333,1.16343203959701e-08
"Omicron (BA.2.76) - Omicron (BA.2.74)","Europe",-0.0333823980368201,0.0097748832347358,NA,-0.0525408171299866,-0.0142239789436536,0.0340232200352912
"Omicron (BA.2.75) - Omicron (BA.5)","Europe",0.044220845056235,0.0143045210803523,NA,0.0161844989226505,0.0722571911898196,0.0884683539018257
"Omicron (BA.2.75) - Beta","Europe",0.253555402267782,0.0145773543156434,NA,0.224984312819241,0.282126491716323,0
"Omicron (BA.2.75) - Alpha","Europe",0.235072491373098,0.0143257867828059,NA,0.206994465228599,0.263150517517597,0
"Omicron (BA.2.75) - Other","Europe",0.0817696772771633,0.0143111003267018,NA,0.0537204360576885,0.109818918496638,1.53613909703587e-06
"Omicron (BA.2.75) - Delta","Europe",0.18529836914557,0.0143178415313716,NA,0.157235915407729,0.21336082288341,0
"Omicron (BA.2.75) - Omicron (BA.1)","Europe",0.238181053464535,0.0143177372140252,NA,0.210118804184937,0.266243302744133,0
"Omicron (BA.2.75) - Omicron (BA.2)","Europe",0.143091835864375,0.0143071627602879,NA,0.115050312133258,0.171133359595492,0
"Omicron (BA.2.75) - Omicron (BA.3)","Europe",0.130252839735053,0.0144595654156857,NA,0.101912612288208,0.158593067181898,0
"Omicron (BA.2.75) - Omicron (BA.4)","Europe",0.0723167741555808,0.0143096760561676,NA,0.0442703244550572,0.100363223856104,4.44832947285034e-05
"Omicron (BA.2.75) - Omicron (BA.2.74)","Europe",0.00378140365945373,0.0164838131205431,NA,-0.0285262763846995,0.036089083703607,0.999999999401744
"Omicron (BA.2.75) - Omicron (BA.2.76)","Europe",0.0371638016962738,0.0152627128943307,NA,0.00724943411701066,0.067078169275537,0.385379807167478
"Beta - Omicron (BA.5)","South America",-0.372000959560128,0.00691026709452027,NA,-0.38554483418894,-0.358457084931316,0
"Alpha - Omicron (BA.5)","South America",-0.392278608430581,0.00443371571877519,NA,-0.40096853155707,-0.383588685304093,0
"Alpha - Beta","South America",-0.020277648870453,0.00806291686255298,NA,-0.0360806755313975,-0.00447462220950851,0.334092950023803
"Other - Omicron (BA.5)","South America",-0.0808155478800111,0.00511496824586147,NA,-0.0908407014239656,-0.0707903943360566,0
"Other - Beta","South America",0.291185411680117,0.00859378205083398,NA,0.274341908369496,0.308028914990739,0
"Other - Alpha","South America",0.31146306055057,0.00604798133756442,NA,0.299609234949774,0.323316886151367,0
"Delta - Omicron (BA.5)","South America",-0.14074827817976,0.00558510494009936,NA,-0.151694882712232,-0.129801673647289,0
"Delta - Beta","South America",0.231252681380368,0.00888197879805685,NA,0.213844322824728,0.248661039936008,0
"Delta - Alpha","South America",0.251530330250821,0.00678288836641054,NA,0.238236113341501,0.264824547160141,0
"Delta - Other","South America",-0.0599327302997492,0.00202781764265334,NA,-0.0639071798465646,-0.0559582807529337,0
"Omicron (BA.1) - Omicron (BA.5)","South America",-0.224904655727549,0.00539061197645645,NA,-0.235470061056034,-0.214339250399064,0
"Omicron (BA.1) - Beta","South America",0.147096303832579,0.00875927270000813,NA,0.129928444809798,0.16426416285536,0
"Omicron (BA.1) - Alpha","South America",0.167373952703032,0.0061961980634997,NA,0.155229627657496,0.179518277748569,0
"Omicron (BA.1) - Other","South America",-0.144089107847538,0.00119204167024089,NA,-0.146425466589281,-0.141752749105795,0
"Omicron (BA.1) - Delta","South America",-0.0841563775477888,0.0021554656150184,NA,-0.0883810125231394,-0.0799317425724383,0
"Omicron (BA.2) - Omicron (BA.5)","South America",-0.11434657124784,0.00492031967860975,NA,-0.123990220610339,-0.104702921885341,0
"Omicron (BA.2) - Beta","South America",0.257654388312289,0.00848124682188335,NA,0.241031449997402,0.274277326627175,0
"Omicron (BA.2) - Alpha","South America",0.277932037182742,0.00588110368475505,NA,0.266405285771276,0.289458788594207,0
"Omicron (BA.2) - Other","South America",-0.0335310233678287,0.00172944388851842,NA,-0.0369206711026077,-0.0301413756330497,0
