group,date,vlo,vmd,vhi,mlo,mmd,mhi,rlo,rmd,rhi,sgtfv,fplo,fpmd,fphi,rfplo,rfpmd,rfphi
South East,2020-10-03,0.00942858923123709,0.012154781928941,0.0149131937252464,0.0520510774504106,0.0589548360726919,0.0668096420317923,0.028402150071754,0.0642263364427483,0.119113256799573,0.207184212239013,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-04,0.0102084831251983,0.0131126991940655,0.016031141986545,0.0530427296456186,0.0598670398372349,0.0676545264360002,0.0294318939199728,0.0645609273585749,0.119154316349571,0.219976558322338,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-05,0.0110580479608552,0.0141524131295985,0.0172521423836276,0.0540527479236587,0.0608600638800616,0.0685596599501696,0.0294241580354989,0.0651899460548072,0.121337274682925,0.233326013494127,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-06,0.0119830806019099,0.0152590035029473,0.0185430918705404,0.0551413217863752,0.0619503778910093,0.0695849897183714,0.0307678779611835,0.066997304278457,0.123019555537428,0.247228670693586,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-07,0.0129770133370084,0.0164478199849602,0.0199365814954131,0.0563307556994633,0.0630922704850868,0.0706698530699107,0.0321029456753649,0.067991392971861,0.124578653296911,0.261676983227581,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-08,0.0140523578920046,0.0177334426389312,0.0214511519210925,0.0574627503052053,0.0643418898455489,0.0719129597127908,0.032956577049351,0.0693291667322915,0.124987400008283,0.276659544459204,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-09,0.015211604811604,0.0191195464813171,0.0230536960683173,0.0587242503759011,0.0656535722731203,0.0731860989429247,0.0338701871405744,0.0703605700936641,0.126119108224529,0.292160908292082,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-10,0.0164647067358377,0.0206134983473692,0.0247604829090278,0.0600962566802345,0.0670919348532967,0.0746321410797809,0.0347328117005083,0.0723879073213518,0.129864329717372,0.308161458950103,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-11,0.0178192293167842,0.0222168491215922,0.0265988762938461,0.0616326947366636,0.06859159016482,0.0761425736099579,0.0353707774933589,0.0736695938278862,0.131017265236181,0.324637338081638,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-10-12,0.0192820406060309,0.0239404372819751,0.0285842582245263,0.0633134171145848,0.0702320219880121,0.0776306832631854,0.0355162945829769,0.0746363466012781,0.133562353813357,0.34156043636881,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
