DATE,LTLA,TRAVEL_INDICATOR,LINEAGE,COUNT,SOURCE
2020-11-03,E07000070,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000074,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000077,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000081,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000085,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000089,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000103,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000105,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000106,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000107,Not travel-associated,B.1.1.7,4,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000108,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000109,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000110,Not travel-associated,B.1.1.7,6,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000111,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000112,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000113,Not travel-associated,B.1.1.7,7,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000115,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000116,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000123,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000143,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000144,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000145,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000149,Not travel-associated,B.1.1.7,7,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000179,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000213,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000226,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E07000241,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E08000012,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000002,Not travel-associated,B.1.1.7,5,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000003,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000004,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000006,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000010,Not travel-associated,B.1.1.7,3,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000012,Not travel-associated,B.1.1.7,2,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000013,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000014,Not travel-associated,B.1.1.7,5,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-11-03,E09000016,Not travel-associated,B.1.1.7,17,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
