"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Delta - Omicron (BA.5)","Europe",-0.240601375876422,0.0011030176289985,NA,-0.242763250703572,-0.238439501049272,0
"Delta - Beta","Europe",-0.107515782597143,0.00380487452174757,NA,-0.114973199625462,-0.100058365568823,0
"Delta - Alpha","Europe",-0.100167770626515,0.00116181809243437,NA,-0.102444892244274,-0.0978906490087571,0
"Delta - Other","Europe",-0.217192199582748,0.000734334889843665,NA,-0.218631469519433,-0.215752929646064,0
"Omicron (BA.1) - Omicron (BA.5)","Europe",-0.162496848338923,0.00109955903092499,NA,-0.164651944438412,-0.160341752239434,0
"Omicron (BA.1) - Beta","Europe",-0.0294112550596438,0.00379960941174425,NA,-0.036858352661982,-0.0219641574573057,1.08114850405627e-10
"Omicron (BA.1) - Alpha","Europe",-0.0220632430890165,0.00094525145530929,NA,-0.0239159018977568,-0.0202105842802762,0
"Omicron (BA.1) - Other","Europe",-0.13908767204525,0.000699960327658014,NA,-0.140459569078066,-0.137715775012433,0
"Omicron (BA.1) - Delta","Europe",0.078104527537499,0.00119246681640174,NA,0.0757673355245924,0.0804417195504055,0
"Omicron (BA.2) - Omicron (BA.5)","Europe",-0.109819516145836,0.000809632043650097,NA,-0.11140636579212,-0.108232666499552,0
"Omicron (BA.2) - Beta","Europe",0.0232660771334433,0.00374796610225309,NA,0.0159201985577502,0.0306119557091363,3.58412831746868e-07
"Omicron (BA.2) - Alpha","Europe",0.0306140891040705,0.000768488881088389,NA,0.0291078785746178,0.0321202996335233,0
"Omicron (BA.2) - Other","Europe",-0.0864103398521625,0.000366710329518896,NA,-0.0871290788907783,-0.0856916008135466,0
"Omicron (BA.2) - Delta","Europe",0.130781859730586,0.000871666631780478,NA,0.129073424525771,0.132490294935401,0
"Omicron (BA.2) - Omicron (BA.1)","Europe",0.0526773321930871,0.000848832984716582,NA,0.0510136501141529,0.0543410142720212,0
"Omicron (BA.3) - Omicron (BA.5)","Europe",-0.141025676235974,0.00666213394751373,NA,-0.154083218833282,-0.127968133638665,0
"Omicron (BA.3) - Beta","Europe",-0.00794008295669479,0.00759435634246644,NA,-0.0228247478736924,0.00694458196030277,0.996292980123038
"Omicron (BA.3) - Alpha","Europe",-0.000592070986067506,0.00665080945018326,NA,-0.0136274179764653,0.0124432760043303,1
"Omicron (BA.3) - Other","Europe",-0.117616499942301,0.0066120858213118,NA,-0.13057595001476,-0.104657049869841,0
"Omicron (BA.3) - Delta","Europe",0.099575699640448,0.00665400673092832,NA,0.0865340860949414,0.112617313185955,0
"Omicron (BA.3) - Omicron (BA.1)","Europe",0.021471172102949,0.00663268681840286,NA,0.00847134481814586,0.0344709993877522,0.0638011383133339
"Omicron (BA.3) - Omicron (BA.2)","Europe",-0.031206160090138,0.00662341932139601,NA,-0.0441878234145809,-0.0182244967656951,0.000350736918085293
"Omicron (BA.4) - Omicron (BA.5)","Europe",-0.0443409125783616,0.00101576491005852,NA,-0.0463317752188359,-0.0423500499378873,0
"Omicron (BA.4) - Beta","Europe",0.0887446807009175,0.00384483390556504,NA,0.0812089447194715,0.0962804166823634,0
"Omicron (BA.4) - Alpha","Europe",0.0960926926715447,0.00115662200644454,NA,0.093825755195187,0.0983596301479025,0
"Omicron (BA.4) - Other","Europe",-0.0209317362846883,0.000932617918655326,NA,-0.0227596338165894,-0.0191038387527871,0
"Omicron (BA.4) - Delta","Europe",0.19626046329806,0.00120915300917274,NA,0.193890566948283,0.198630359647837,0
"Omicron (BA.4) - Omicron (BA.1)","Europe",0.118155935760561,0.00120565381184442,NA,0.115792897711523,0.1205189738096,0
"Omicron (BA.4) - Omicron (BA.2)","Europe",0.0654786035674742,0.000943364961398616,NA,0.0636296422188559,0.0673275649160925,0
"Omicron (BA.4) - Omicron (BA.3)","Europe",0.0966847636576122,0.00668047101133155,NA,0.0835912810756386,0.109778246239586,0
"Omicron (BA.2.74) - Omicron (BA.5)","Europe",0.0128957316123925,0.00498867216402316,NA,0.00311811384022959,0.0226733493845553,0.298188162663502
"Omicron (BA.2.74) - Beta","Europe",0.145981324891672,0.0062606555850776,NA,0.13371066542531,0.158251984358033,0
"Omicron (BA.2.74) - Alpha","Europe",0.153329336862299,0.00509885719514945,NA,0.143335760397493,0.163322913327105,0
"Omicron (BA.2.74) - Other","Europe",0.0363049079060658,0.00505255472707541,NA,0.0264020826110804,0.0462077332010512,2.2363333407327e-09
"Omicron (BA.2.74) - Delta","Europe",0.253497107488814,0.00511125622536044,NA,0.243479229371352,0.263514985606277,0
"Omicron (BA.2.74) - Omicron (BA.1)","Europe",0.175392579951315,0.00510831326193329,NA,0.165380469936178,0.185404689966453,0
"Omicron (BA.2.74) - Omicron (BA.2)","Europe",0.122715247758228,0.00505642092280748,NA,0.112804844858851,0.132625650657606,0
"Omicron (BA.2.74) - Omicron (BA.3)","Europe",0.153921407848366,0.00835017575856358,NA,0.137555364097002,0.17028745159973,0
"Omicron (BA.2.74) - Omicron (BA.4)","Europe",0.0572366441907541,0.00509253028858532,NA,0.0472554682349475,0.0672178201465607,4.13002965160558e-14
"Omicron (BA.2.76) - Omicron (BA.5)","Europe",0.0159106622751231,0.0115493077890433,NA,-0.00672556503776964,0.0385468895880159,0.965999786872558
"Omicron (BA.2.76) - Beta","Europe",0.148996255554402,0.0121387234922211,NA,0.125204794691359,0.172787716417446,0
"Omicron (BA.2.76) - Alpha","Europe",0.156344267525029,0.0115703526801741,NA,0.133666792983462,0.179021742066597,0
"Omicron (BA.2.76) - Other","Europe",0.0393198385687965,0.0115500201864997,NA,0.0166822149825465,0.0619574621550464,0.0393718282690846
"Omicron (BA.2.76) - Delta","Europe",0.256512038151545,0.0115753513722302,NA,0.233824766353577,0.279199309949512,0
"Omicron (BA.2.76) - Omicron (BA.1)","Europe",0.178407510614046,0.0115754203447429,NA,0.155720103632438,0.201094917595654,0
"Omicron (BA.2.76) - Omicron (BA.2)","Europe",0.125730178420959,0.0115517252039709,NA,0.103089213061872,0.148371143780045,6.48370246381091e-14
"Omicron (BA.2.76) - Omicron (BA.3)","Europe",0.156936338511097,0.0133104020964973,NA,0.130848429782216,0.183024247239978,1.28785870856518e-14
"Omicron (BA.2.76) - Omicron (BA.4)","Europe",0.0602515748534847,0.0115650686208761,NA,0.0375844568778333,0.0829186928291361,4.08492512625758e-05
"Omicron (BA.2.76) - Omicron (BA.2.74)","Europe",0.00301493066273065,0.0126485434954712,NA,-0.0217757590452812,0.0278056203707425,0.999999999000034
"Omicron (BA.2.75) - Omicron (BA.5)","Europe",0.0554891651676974,0.0085873333707722,NA,0.0386583010377449,0.0723200292976498,9.93688391570657e-08
"Omicron (BA.2.75) - Beta","Europe",0.188574758446976,0.00938779303630199,NA,0.170175022201509,0.206974494692444,0
"Omicron (BA.2.75) - Alpha","Europe",0.195922770417604,0.0086501848461566,NA,0.178968719659523,0.212876821175685,0
"Omicron (BA.2.75) - Other","Europe",0.0788983414613707,0.00862303306202367,NA,0.0619975072223062,0.0957991757004352,1.39666056497845e-13
"Omicron (BA.2.75) - Delta","Europe",0.296090541044119,0.00865745816152098,NA,0.279122234849876,0.313058847238363,0
"Omicron (BA.2.75) - Omicron (BA.1)","Europe",0.21798601350662,0.00865663775514561,NA,0.201019315279325,0.234952711733915,0
"Omicron (BA.2.75) - Omicron (BA.2)","Europe",0.165308681313533,0.00862478652522698,NA,0.148404410349742,0.182212952277324,0
"Omicron (BA.2.75) - Omicron (BA.3)","Europe",0.196514841403671,0.0108827900045887,NA,0.175184964943365,0.217844717863977,0
"Omicron (BA.2.75) - Omicron (BA.4)","Europe",0.099830077746059,0.00864570388938134,NA,0.0828848095018737,0.116775345990244,2.30926389122033e-14
"Omicron (BA.2.75) - Omicron (BA.2.74)","Europe",0.0425934335553049,0.00919173098931884,NA,0.0245779718606593,0.0606088952499506,0.000482901081189868
"Omicron (BA.2.75) - Omicron (BA.2.76)","Europe",0.0395785028925743,0.0144458869943137,NA,0.0112650846589839,0.0678919211261646,0.218163348256173
"Beta - Omicron (BA.5)","Oceania",-0.0894748397997836,0.0162789235034056,NA,-0.121380943573541,-0.057568736026026,1.10667364797701e-05
"Alpha - Omicron (BA.5)","Oceania",-0.138996042377229,0.0225321977071693,NA,-0.183158338375816,-0.0948337463786409,4.3505984237413e-07
"Alpha - Beta","Oceania",-0.0495212025774451,0.0265970620500834,NA,-0.101650486290186,0.00260808113529545,0.780288858900445
"Other - Omicron (BA.5)","Oceania",-0.0251162877214159,0.00369560665133902,NA,-0.0323595436590671,-0.0178730317837648,1.76272043628245e-08
"Other - Beta","Oceania",0.0643585520783677,0.0158951520854275,NA,0.0332046264621431,0.0955124776945922,0.0046373605784843
"Other - Alpha","Oceania",0.113879754655813,0.0220888461641975,NA,0.0705864117139399,0.157173097597686,5.2023751913266e-05
"Delta - Omicron (BA.5)","Oceania",-0.109291353588048,0.00525963604289705,NA,-0.119600050803915,-0.0989826563721806,0
"Delta - Beta","Oceania",-0.019816513788264,0.0167949622496395,NA,-0.0527340349192671,0.0131010073427392,0.98972300288695
"Delta - Alpha","Oceania",0.0297046887891811,0.0230662881500832,NA,-0.0155044052420051,0.0749137828203673,0.979459386975129
"Delta - Other","Oceania",-0.0841750658666316,0.00405045280390748,NA,-0.0921138074833696,-0.0762363242498937,0
"Omicron (BA.1) - Omicron (BA.5)","Oceania",-0.152176558434492,0.0037386600070312,NA,-0.159504197398713,-0.14484891947027,0
"Omicron (BA.1) - Beta","Oceania",-0.0627017186347082,0.0161929366773742,NA,-0.0944392913262993,-0.0309641459431172,0.00868036799385108
"Omicron (BA.1) - Alpha","Oceania",-0.0131805160572632,0.0224680957123881,NA,-0.0572171744547426,0.0308561423402162,0.999985508525435
