"week_midpoint","country","non_sgtf","sgtf","Other","Alpha","Beta","Gamma","Delta","Omicron (B.1.1.529)","Omicron (BA.1)","Omicron (BA.2)","Omicron (BA.3)","Omicron","Total","longitude","latitude","continent","date_num"
2019-12-26,"Serbia",0,0,0,0,0,0,0,0,0,0,0,0,0,20.457273,44.787197,"Europe",18256
2019-12-26,"Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,0,55.47601997,-4.66097821,"Africa",18256
2019-12-26,"Sierra Leone",0,0,0,0,0,0,0,0,0,0,0,0,0,-11.79271209,8.56329069,"Africa",18256
2019-12-26,"Singapore",0,0,0,0,0,0,0,0,0,0,0,0,0,103.8172532,1.35877066,"Asia",18256
2019-12-26,"Sint Eustatius",0,0,0,0,0,0,0,0,0,0,0,0,0,-62.973555,17.4890306,"North America",18256
2019-12-26,"Sint Maarten",0,0,0,0,0,0,0,0,0,0,0,0,0,-63.05713283,18.05081813,"North America",18256
2019-12-26,"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,19.47905212,48.70547175,"Europe",18256
2019-12-26,"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,14.8044464,46.11555444,"Europe",18256
2019-12-26,"Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,159.6328471,-8.92175696,"Oceania",18256
2019-12-26,"Somalia",0,0,0,0,0,0,0,0,0,0,0,0,0,45.70716243,4.75065195,"Africa",18256
2019-12-26,"South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,25.08388384,-29.0003377,"Africa",18256
2019-12-26,"South Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,127.8391693,36.3852463,"Asia",18256
2019-12-26,"South Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,30.24790056,7.30877585,"Africa",18256
2019-12-26,"Spain",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.64754874,40.24448626,"Europe",18256
2019-12-26,"Sri Lanka",0,0,0,0,0,0,0,0,0,0,0,0,0,80.70107795,7.61266309,"Asia",18256
2019-12-26,"Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,29.94047226,15.99035431,"Africa",18256
2019-12-26,"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,-55.91234833,4.13055377,"South America",18256
2019-12-26,"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,16.74371219,62.79232016,"Europe",18256
2019-12-26,"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20866006,46.79785296,"Europe",18256
2019-12-26,"Syria",0,0,0,0,0,0,0,0,0,0,0,0,0,38.50787939,35.02547248,"Asia",18256
2019-12-26,"Taiwan",0,0,0,0,0,0,0,0,0,0,0,0,0,120.9542726,23.75400343,"Asia",18256
2019-12-26,"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,101.0028835,15.11816347,"Asia",18256
2019-12-26,"The Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,-76.62835738,24.29031222,"North America",18256
2019-12-26,"Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,125.727539,-8.874217,"Asia",18256
2019-12-26,"Togo",0,0,0,0,0,0,0,0,0,0,0,0,0,0.96232118,8.52529798,"Africa",18256
2019-12-26,"Trinidad and Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.26565805,10.45735757,"South America",18256
2019-12-26,"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,9.55288287,34.11956663,"Africa",18256
2019-12-26,"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,35.16895529,39.06160342,"Europe",18256
2019-12-26,"Turks and Caicos Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,-71.97385725,21.83047424,"North America",18256
2019-12-26,"U.S. Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,-64.80300497,17.95501398,"North America",18256
