"date_num","region","prob","SE","df","asymp.LCL","asymp.UCL","date"
19002,"South East",0.994498618735469,0.00202840791041591,189,0.988636305036667,0.997344798809569,2022-01-10
19003,"South East",0.995389207450843,0.00177727191033924,189,0.990154605115585,0.997846727373481,2022-01-11
19004,"South East",0.996136183736877,0.00155399226997526,189,0.991471623109267,0.998253975018606,2022-01-12
19005,"South East",0.996762538940817,0.00135619197963579,189,0.992613646057469,0.998584334764987,2022-01-13
19006,"South East",0.997287633481869,0.00118152192387784,189,0.993603627576108,0.998852278353552,2022-01-14
19007,"South East",0.99772775534708,0.00102771601113975,189,0.994461585536912,0.999069568592002,2022-01-15
19008,"South East",0.998096597188286,0.000892627607304573,189,0.995204958667588,0.999245761401132,2022-01-16
19009,"South East",0.998405662495684,0.000774251789974195,189,0.99584892463477,0.999388616530077,2022-01-17
19010,"South East",0.998664610422695,0.000670737032193942,189,0.996406682511083,0.999504432965239,2022-01-18
19011,"South East",0.998881547851779,0.000580389161766034,189,0.99688970267164,0.999598322453014,2022-01-19
19012,"South East",0.999063276300622,0.000501669814079479,189,0.997307947170032,0.999674432299901,2022-01-20
19013,"South East",0.999215500320617,0.000433191086692427,189,0.997670063552997,0.999736126688111,2022-01-21
19014,"South East",0.999343003161918,0.000373707695512632,189,0.997983554920005,0.999786134120142,2022-01-22
19015,"South East",0.999449794684566,0.000322107608704517,189,0.99825492884367,0.99982666724649,2022-01-23
19016,"South East",0.999539235787179,0.0002774018803245,189,0.998489827557537,0.999859520200861,2022-01-24
19017,"South East",0.999614143001863,0.000238714208005751,189,0.9986931416022,0.999886147632866,2022-01-25
19018,"South East",0.999676876361147,0.000205270586629674,189,0.998869108907846,0.9999077288585,2022-01-26
19019,"South East",0.999729413173298,0.000176389313556973,189,0.99902140108705,0.999925219916706,2022-01-27
18871,"North West",2.22044604925031e-16,5.00453452829822e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-01
18872,"North West",2.22044604925031e-16,4.9537688655607e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-02
18873,"North West",2.22044604925031e-16,4.90300353638155e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-03
18874,"North West",2.22044604925031e-16,4.8522385512301e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-04
18875,"North West",2.22044604925031e-16,4.80147392101834e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-05
18876,"North West",2.22044604925031e-16,4.75070965712461e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-06
18877,"North West",2.22044604925031e-16,4.69994577141874e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-07
18878,"North West",2.22044604925031e-16,4.6491822762889e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-08
18879,"North West",2.22044604925031e-16,4.59841918467019e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-09
18880,"North West",2.22044604925031e-16,4.54765651007515e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-10
18881,"North West",2.22044604925031e-16,4.49689426662637e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-11
18882,"North West",2.22044604925031e-16,4.44613246909124e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-12
18883,"North West",2.22044604925031e-16,4.39537113291924e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-13
18884,"North West",2.22044604925031e-16,4.34461027428171e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-14
18885,"North West",2.22044604925031e-16,4.29384991011455e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-15
18886,"North West",2.22044604925031e-16,4.2430900581639e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-16
18887,"North West",2.22044604925031e-16,4.19233073703519e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-17
18888,"North West",2.22044604925031e-16,4.14157196624577e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-18
18889,"North West",2.22044604925031e-16,4.09081376628144e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-19
18890,"North West",2.22044604925031e-16,4.04005615865729e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-20
18891,"North West",2.22044604925031e-16,3.98929916598313e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-21
18892,"North West",2.22044604925031e-16,3.93854281203402e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-22
18893,"North West",2.22044604925031e-16,3.88778712182625e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-23
18894,"North West",2.22044604925031e-16,3.83703212169945e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-24
18895,"North West",2.22044604925031e-16,3.78627783940518e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-25
18896,"North West",2.22044604925031e-16,3.73552430420286e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-26
18897,"North West",2.22044604925031e-16,3.68477154696351e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-27
18898,"North West",2.22044604925031e-16,3.63401960028224e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-28
18899,"North West",2.22044604925031e-16,3.5832684986003e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-29
18900,"North West",2.22044604925031e-16,3.53251827833757e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-30
18901,"North West",2.22044604925031e-16,3.48176897803673e-16,189,2.22044604925031e-16,1.29083304928525e-13,2021-10-01
18902,"North West",2.22044604925031e-16,3.43102063852011e-16,189,2.22044604925031e-16,1.93371188383004e-13,2021-10-02
18903,"North West",2.22044604925031e-16,3.38027330306072e-16,189,2.22044604925031e-16,2.89676886338965e-13,2021-10-03
18904,"North West",2.22044604925031e-16,3.32952701756889e-16,189,2.22044604925031e-16,4.33946636268999e-13,2021-10-04
18905,"North West",2.22044604925031e-16,3.27878183079623e-16,189,2.22044604925031e-16,6.5006866551927e-13,2021-10-05
18906,"North West",2.22044604925031e-16,3.22803779455876e-16,189,2.22044604925031e-16,9.73828730316372e-13,2021-10-06
18907,"North West",2.22044604925031e-16,3.17729496398151e-16,189,2.22044604925031e-16,1.45883575388877e-12,2021-10-07
18908,"North West",1.35909991332865e-13,1.91371389246601e-13,189,2.22044604925031e-16,2.18539880888211e-12,2021-10-08
18909,"North West",2.12986794443182e-13,2.95034227538989e-13,189,2.22044604925031e-16,3.27382542630094e-12,2021-10-09
18910,"North West",3.33775126922625e-13,4.5472600565344e-13,189,2.22044604925031e-16,4.90434338512005e-12,2021-10-10
18911,"North West",5.23064519767335e-13,7.00656572893185e-13,189,2.22044604925031e-16,7.3469449990984e-12,2021-10-11
18912,"North West",8.19703056851294e-13,1.07928078409223e-12,189,2.22044604925031e-16,1.10060961255468e-11,2021-10-12
18913,"North West",1.28457021269597e-12,1.66200805299324e-12,189,1.00081833637018e-13,1.64877138173483e-11,2021-10-13
18914,"North West",2.01307121835548e-12,2.55856586957141e-12,189,1.64070325442706e-13,2.4699504429897e-11,2021-10-14
18915,"North West",3.15471718876655e-12,3.93749480967545e-12,189,2.6897017731291e-13,3.70012788786354e-11,2021-10-15
18916,"North West",4.94380946404023e-12,6.05756586354238e-12,189,4.40937955301094e-13,5.54301386890591e-11,2021-10-16
18917,"North West",7.74752554800799e-12,9.31591697996814e-12,189,7.22853122623646e-13,8.30378264052828e-11,2021-10-17
18918,"North West",1.21412753775279e-11,1.43217679533801e-11,189,1.18500945862362e-12,1.24396110685268e-10,2021-10-18
18919,"North West",1.90267933779839e-11,2.20092439220041e-11,189,1.9426416752758e-12,1.86353907054271e-10,2021-10-19
18920,"North West",2.98172024758725e-11,3.38099578201044e-11,189,3.18465698820564e-12,2.79171529801109e-10,2021-10-20
18921,"North West",4.67270309725696e-11,5.1916846497064e-11,189,5.22073492225164e-12,4.1821993556595e-10,2021-10-21
18922,"North West",7.32267027819706e-11,7.96872581957725e-11,189,8.55853795887448e-12,6.26526402460931e-10,2021-10-22
18923,"North West",1.14754776595719e-10,1.22258381183168e-10,189,1.40302823257289e-11,9.38588293256373e-10,2021-10-23
18924,"North West",1.79834107653765e-10,1.87486219086363e-10,189,2.30002235504775e-11,1.40608660476995e-09,2021-10-24
18925,"North West",2.81821003306619e-10,2.87377159934968e-10,189,3.77047827251586e-11,2.10644570897435e-09,2021-10-25
18926,"North West",4.41646353610905e-10,4.40268868266241e-10,189,6.18101047458107e-11,3.15565718590283e-09,2021-10-26
18927,"North West",6.9211130239258e-10,6.74149997336638e-10,189,1.01326040827753e-10,4.72749205768165e-09,2021-10-27
18928,"North West",1.08461906436011e-09,1.03170900983614e-09,189,1.66104393768646e-10,7.08228411126079e-09,2021-10-28
18929,"North West",1.69972446692433e-09,1.57800566700316e-09,189,2.72294899428108e-10,1.06100527329393e-08,2021-10-29
18930,"North West",2.66366631141399e-09,2.41211615995476e-09,189,4.46371137598476e-10,1.58951095686599e-08,2021-10-30
18931,"North West",4.17427550920757e-09,3.68479171629993e-09,189,7.31729861810263e-10,2.38128531497315e-08,2021-10-31
18932,"North West",6.54157614907593e-09,5.62520623257665e-09,189,1.19950862123703e-09,3.56747894416567e-08,2021-11-01
18933,"North West",1.02514120982954e-08,8.58142294931044e-09,189,1.9663178409551e-09,5.34458082775479e-08,2021-11-02
18934,"North West",1.60651572943655e-08,1.3081538716122e-08,189,3.22330667631906e-09,8.00697208193948e-08,2021-11-03
18935,"North West",2.51759733748955e-08,1.99259450832542e-08,189,5.28380628119614e-09,1.1995700716022e-07,2021-11-04
18936,"North West",3.94536835515963e-08,3.03263363437487e-08,189,8.66142324024654e-09,1.79715611651076e-07,2021-11-05
18937,"North West",6.1828518405479e-08,4.61148162651208e-08,189,1.41980429307267e-08,2.69245916218183e-07,2021-11-06
18938,"North West",9.68924900183214e-08,7.00579089244406e-08,189,2.32736372269716e-08,4.03381402922707e-07,2021-11-07
18939,"North West",1.51841814705877e-07,1.06327215090683e-07,189,3.81501499950139e-08,6.04347004782984e-07,2021-11-08
18940,"North West",2.379537977642e-07,1.61203409745482e-07,189,6.25351317501098e-08,9.05442755516125e-07,2021-11-09
18941,"North West",3.72901280289091e-07,2.44126898208474e-07,189,1.02505526551796e-07,1.35656359549904e-06,2021-11-10
18942,"North West",5.84379638004363e-07,3.69261949918327e-07,189,1.68021703235564e-07,2.03247082014441e-06,2021-11-11
18943,"North West",9.1579068887174e-07,5.57818884114696e-07,189,2.7540878918885e-07,3.04518726325403e-06,2021-11-12
18944,"North West",1.43514998411116e-06,8.41491204266415e-07,189,4.51423171506118e-07,4.56257275127172e-06,2021-11-13
18945,"North West",2.2490454372134e-06,1.26752568836884e-06,189,7.39916567265687e-07,6.83616239081755e-06,2021-11-14
18946,"North West",3.52451179313655e-06,1.90617258675506e-06,189,1.21275641470501e-06,1.02428884226821e-05,2021-11-15
18947,"North West",5.52330966240051e-06,2.86158566810245e-06,189,1.98772010188168e-06,1.53476124461943e-05,2021-11-16
18948,"North West",8.65564277727478e-06,4.28769027855218e-06,189,3.25781463319846e-06,2.29968522681557e-05,2021-11-17
18949,"North West",1.3564334317602e-05,6.41115097818225e-06,189,5.33931296462612e-06,3.4459271348737e-05,2021-11-18
18950,"North West",2.12567290521797e-05,9.5643918546043e-06,189,8.75044713201564e-06,5.163627033358e-05,2021-11-19
18951,"North West",3.33113699691924e-05,1.42326914878457e-05,189,1.43403067599866e-05,7.73776697442735e-05,2021-11-20
18952,"North West",5.22018124550547e-05,2.11207076944988e-05,189,2.34999381134406e-05,0.000115954930808806,2021-11-21
18953,"North West",8.18039015962091e-05,3.12453415571016e-05,189,3.85079870962814e-05,0.000173770510205411,2021-11-22
18954,"North West",0.000128190299622104,4.60634496549539e-05,189,6.30964651769199e-05,0.000260421076575688,2021-11-23
18955,"North West",0.000200874534586838,6.76441126603604e-05,189,0.000103376427781907,0.000390290795201762,2021-11-24
18956,"North West",0.000314757947252048,9.88950097095652e-05,189,0.000169351593664759,0.000584938079232609,2021-11-25
18957,"North West",0.000493174349282073,0.000143849039477999,189,0.000277391098378223,0.000876668750635335,2021-11-26
18958,"North West",0.000772645577327855,0.000208007151425776,189,0.000454263672131374,0.00131387997793144,2021-11-27
18959,"North West",0.00121029533121872,0.000298710206280414,189,0.000743705504167942,0.00196903988150181,2021-11-28
18960,"North West",0.00189537288041319,0.000425466376126738,189,0.0012170782897226,0.00295057369890922,2021-11-29
18961,"North West",0.00296708087024453,0.000600076179739006,189,0.00199057498385721,0.00442050428736915,2021-11-30
18962,"North West",0.00464195056682359,0.000836258367657746,189,0.00325276171647021,0.00662049320461175,2021-12-01
18963,"North West",0.00725351274807636,0.00114825987839875,189,0.00530629660173156,0.00990816805166187,2021-12-02
18964,"North West",0.0113002635498959,0.00154803054531878,189,0.00862113285422642,0.0147995405497134,2021-12-03
18965,"North West",0.0175112227625899,0.00204156774368088,189,0.0139074798960264,0.0220279169548721,2021-12-04
18966,"North West",0.0269201788540948,0.00262555289694743,189,0.022198072971433,0.0326132948831888,2021-12-05
18967,"North West",0.0409281749420444,0.00328876956174255,189,0.034910987392525,0.0479309649409417,2021-12-06
18968,"North West",0.0613140231747624,0.00402674720726123,189,0.0538355209038011,0.069754804125466,2021-12-07
18969,"North West",0.0901242323200272,0.00487543949209986,189,0.080958091195229,0.100215006905717,2021-12-08
18970,"North West",0.129358738675824,0.00594033355230602,189,0.118085750236045,0.141535186013807,2021-12-09
18971,"North West",0.180407263765434,0.00734373093998744,189,0.166371749713007,0.195349376553299,2021-12-10
