"date_num","country","prob","SE","df","asymp.LCL","asymp.UCL","date"
18945,"Scotland",9.25734813767015e-05,2.17070787370254e-05,122,5.81954952470479e-05,0.000147256679799471,2021-11-14
18946,"Scotland",0.000121722097309404,2.73783183705686e-05,122,7.79812949469055e-05,0.000189993067560906,2021-11-15
18947,"Scotland",0.000160047270099609,3.44785654893012e-05,122,0.000104480085805309,0.000245160323188335,2021-11-16
18948,"Scotland",0.000210436889449293,4.33502360390831e-05,122,0.000139961956443015,0.000316386780687879,2021-11-17
18949,"Scotland",0.000276686892326162,5.44121548944437e-05,122,0.000187460414256064,0.000408365600449472,2021-11-18
18950,"Scotland",0.000363786214331564,6.8175044763118e-05,122,0.000251026605962806,0.000527170037306644,2021-11-19
18951,"Scotland",0.000478290746510153,8.52599393013037e-05,122,0.000336066632206434,0.000680663426214318,2021-11-20
18952,"Scotland",0.000628813796747342,0.000106420267581369,122,0.000449788100345443,0.000879033048703363,2021-11-21
18953,"Scotland",0.000826668830435132,0.000132568807646968,122,0.00060178959715663,0.00113548639185112,2021-11-22
18954,"Scotland",0.00108671086882819,0.000164811533049035,122,0.00080483598905905,0.00146716084220625,2021-11-23
18955,"Scotland",0.00142843638892598,0.000204491865506265,122,0.00107587338878624,0.00189631472570365,2021-11-24
18956,"Scotland",0.00187741845525221,0.000253251472486712,122,0.00143734995960483,0.00245189038014523,2021-11-25
18957,"Scotland",0.00246717461614874,0.000313118253644596,122,0.00191892158007421,0.00317157068938064,2021-11-26
18958,"Scotland",0.00324159005886465,0.000386639629371927,122,0.0025596329741928,0.00410449172197355,2021-11-27
18959,"Scotland",0.00425804727889452,0.000477091069735887,122,0.00341067222235006,0.00531482831059311,2021-11-28
18960,"Scotland",0.00559144448078536,0.000588807307679552,122,0.00453879544717156,0.00688653767004851,2021-11-29
18961,"Scotland",0.00733931415380152,0.000727706961396177,122,0.00603050468441943,0.00892962462910313,2021-11-30
18962,"Scotland",0.00962827265799261,0.000902106643405736,122,0.00799703423110251,0.0115883647843793,2021-12-01
18963,"Scotland",0.0126220260528504,0.00112393643083197,122,0.0105801656442156,0.0150519492308471,2021-12-02
18964,"Scotland",0.0165311002255823,0.00141045167857395,122,0.0139588654312281,0.0195679207710517,2021-12-03
18965,"Scotland",0.0216243106556339,0.00178645532226208,122,0.0183567348496967,0.0254584440522375,2021-12-04
18966,"Scotland",0.028241670500108,0.00228687837011465,122,0.0240502434319549,0.0331387673602425,2021-12-05
18967,"Scotland",0.0368078569129001,0.00295932563057471,122,0.0313775520194313,0.043136096722327,2021-12-06
18968,"Scotland",0.0478443900230658,0.00386591496660322,122,0.0407472030775705,0.0561054355941323,2021-12-07
18969,"Scotland",0.0619772033670622,0.00508342120385732,122,0.0526449280464338,0.0728366042606911,2021-12-08
18970,"Scotland",0.0799342555589973,0.00670031301984413,122,0.0676353931154686,0.0942434920660531,2021-12-09
18971,"Scotland",0.102525454622536,0.0088087363926873,122,0.0863541737179362,0.12132294782749,2021-12-10
18972,"Scotland",0.130595166953183,0.0114891488036485,122,0.109483976756299,0.155068258512999,2021-12-11
18973,"Scotland",0.164937537872376,0.0147858860419399,122,0.137708639257503,0.196324561160986,2021-12-12
18974,"Scotland",0.2061692738307,0.0186744855070378,122,0.171639678132485,0.245585916094462,2021-12-13
18975,"Scotland",0.25456614255082,0.0230268058580771,122,0.211714544444211,0.302759840314713,2021-12-14
18976,"Scotland",0.309888905194228,0.0275869848385203,122,0.258074423130742,0.366960984021654,2021-12-15
18977,"Scotland",0.371246799167747,0.0319761860276248,122,0.310441956477463,0.436423603418418,2021-12-16
18978,"Scotland",0.437059460194773,0.035740522678129,122,0.368031909816358,0.508614082263382,2021-12-17
18979,"Scotland",0.505165372666405,0.0384403292437946,122,0.42953314803395,0.580561931587085,2021-12-18
18980,"Scotland",0.573080129564336,0.0397552464428357,122,0.49319029963211,0.649330786739874,2021-12-19
18981,"Scotland",0.638346852548301,0.0395641142042505,122,0.556985906475602,0.712478897585226,2021-12-20
18982,"Scotland",0.698878523269837,0.0379661054237205,122,0.618887789377909,0.768363968677516,2021-12-21
18983,"Scotland",0.753195847241366,0.0352377878505112,122,0.677099906460396,0.81622598912032,2021-12-22
18984,"Scotland",0.800511953845222,0.0317503629408842,122,0.730253586384492,0.856077352987946,2021-12-23
18985,"Scotland",0.840675687813254,0.0278830745893391,122,0.777500505049373,0.888486005970286,2021-12-24
18986,"Scotland",0.874025618196773,0.0239599732003049,122,0.818504690596052,0.914339718024984,2021-12-25
18987,"Scotland",0.901215002019814,0.020219358399696,122,0.853359770174923,0.934648928821349,2021-12-26
18988,"Scotland",0.923052666736752,0.0168108188441887,122,0.882469418272335,0.950410016173637,2021-12-27
18989,"Scotland",0.940382192861092,0.0138088262161477,122,0.906424844071872,0.962526260755835,2021-12-28
18990,"Scotland",0.954003369457781,0.0112325731910441,122,0.925900928473209,0.971772742370739,2021-12-29
18991,"Scotland",0.964629503174909,0.00906530925245763,122,0.941579901683693,0.978789761455956,2021-12-30
18992,"Scotland",0.972870598848162,0.0072699939296579,122,0.954102360901658,0.984092180234235,2021-12-31
18993,"Scotland",0.979232910304246,0.00580051321991785,122,0.964040717846015,0.988085978595634,2022-01-01
18994,"Scotland",0.984127493566131,0.00460895129307381,122,0.971888794277465,0.991086730118366,2022-01-02
18995,"Scotland",0.987882750278688,0.00364984340048266,122,0.978061806889529,0.993337159156379,2022-01-03
18996,"Scotland",0.990757899031804,0.00288233647076769,122,0.982902262309338,0.995022504015257,2022-01-04
18997,"Scotland",0.992955704761355,0.0022710107733411,122,0.986688644167306,0.996283312543795,2022-01-05
18998,"Scotland",0.994633695017184,0.00178590964961742,122,0.989644913942007,0.997225763115081,2022-01-06
18999,"Scotland",0.995913623612142,0.00140214488719969,122,0.991949685709158,0.997929810079017,2022-01-07
19000,"Scotland",0.996889228543199,0.00109930968777368,122,0.993744498643047,0.998455514843617,2022-01-08
19001,"Scotland",0.997632465671034,0.000860836890981711,122,0.99514096257716,0.998847913339046,2022-01-09
19002,"Scotland",0.998198446722746,0.000673378354150364,122,0.996226754738163,0.999140728773988,2022-01-10
19003,"Scotland",0.998629310650358,0.000526242878573641,122,0.997070551632854,0.999359187300215,2022-01-11
19004,"Scotland",0.998957235744886,0.000410907193233779,122,0.997726026465701,0.999522144275543,2022-01-12
19005,"Scotland",0.999206770027748,0.000320601663117214,122,0.998235054612597,0.999643684867094,2022-01-13
19006,"Scotland",0.999396626633383,0.000249965745113624,122,0.998630263616255,0.999734326125585,2022-01-14
19007,"Scotland",0.99954106264702,0.000194765256197204,122,0.998937049609677,0.999801918177517,2022-01-15
19008,"Scotland",0.999650935524973,0.000151662656135079,122,0.999175164595071,0.999852318958885,2022-01-16
19009,"Scotland",0.999734511038451,0.000118031804808023,122,0.999359961607997,0.999889898896834,2022-01-17
19010,"Scotland",0.999798080346548,9.18094518396779e-05,122,0.999503368938278,0.999917918114989,2022-01-18
19011,"Scotland",0.999846430806517,7.13767201944427e-05,122,0.999614650833046,0.999938808201499,2022-01-19
19012,"Scotland",0.999883204910028,5.54648731893825e-05,122,0.999701000565054,0.999954382595522,2022-01-20
18871,"Denmark",2.22044604925031e-16,2.71573422374124e-16,122,2.22044604925031e-16,2.22044604925031e-16,2021-09-01
18872,"Denmark",2.22044604925031e-16,2.68817909994515e-16,122,2.22044604925031e-16,9.74061491564587e-14,2021-09-02
