"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"C.1.2",18393,7.89941487729678e-55,1.16262994582775e-53,NA,-2.19971867239717e-53,2.35770696994311e-53,2020-05-11,637,NA,607.045734384691,NA
"Other",18393,0.999963447254753,8.81830443266462e-06,NA,0.99994616369566,0.999980730813845,2020-05-11,637,636.976715901277,607.045734384691,607.023545196608
"Omicron",18393,5.37141883699883e-41,2.96413820062279e-40,NA,-5.27246223472014e-40,6.34674600211991e-40,2020-05-11,637,NA,607.045734384691,NA
"Delta",18396,7.08204702911497e-45,3.50920503648773e-44,NA,-6.16971078297103e-44,7.58612018879402e-44,2020-05-14,665,NA,709.523831085079,NA
"Beta",18396,4.54509599702565e-05,1.07514048135308e-05,NA,2.43785937525256e-05,6.65233261879874e-05,2020-05-14,665,0.0302248883802206,709.523831085079,0.0322485392445909
"Alpha",18396,4.70865749172787e-19,2.18196066497863e-18,NA,-3.8056985698684e-18,4.74743006821397e-18,2020-05-14,665,NA,709.523831085079,NA
"C.1.2",18396,3.5554145892482e-54,5.16806534317497e-53,NA,-9.77368048344775e-53,1.04847634012974e-52,2020-05-14,665,NA,709.523831085079,NA
"Other",18396,0.99995454904003,1.07514048135495e-05,NA,0.999933476673812,0.999975621406248,2020-05-14,665,664.96977511162,709.523831085079,709.491582545834
"Omicron",18396,7.77670543869391e-41,4.25540316473646e-40,NA,-7.56276639871183e-40,9.11810748645062e-40,2020-05-14,665,NA,709.523831085079,NA
"Delta",18399,2.57764218026679e-44,1.26078305033056e-43,NA,-2.21332515293978e-43,2.72885358899314e-43,2020-05-17,1160,NA,832.472125967106,NA
"Beta",18399,5.64744927238385e-05,1.30947077842861e-05,NA,3.08093370785614e-05,8.21396483691157e-05,2020-05-17,1160,0.0655104115596527,832.472125967106,0.0470134410207277
"Alpha",18399,8.62776747371485e-19,3.94088858332035e-18,NA,-6.86122294302147e-18,8.58677643776444e-18,2020-05-17,1160,NA,832.472125967106,NA
"C.1.2",18399,1.59511452604586e-53,2.28962691789011e-52,NA,-4.32807484449348e-52,4.64709774970265e-52,2020-05-17,1160,NA,832.472125967106,NA
"Other",18399,0.999943525507276,1.30947077842864e-05,NA,0.999917860351631,0.999969190662921,2020-05-17,1160,1159.93448958844,832.472125967106,832.425112526086
"Omicron",18399,1.12657029794685e-40,6.11297835845109e-40,NA,-1.08546471228901e-39,1.31077877187838e-39,2020-05-17,1160,NA,832.472125967106,NA
"Delta",18402,9.3546228654078e-44,4.515975017241e-43,NA,-7.91568610233423e-43,9.78661067541579e-43,2020-05-20,803,NA,978.483905537826,NA
"Beta",18402,7.01187259678818e-05,1.59316109927109e-05,NA,3.88933422064659e-05,0.000101344109729298,2020-05-20,803,0.0563053369522091,978.483905537826,0.0686100448363895
"Alpha",18402,1.57823167439276e-18,7.1045862343112e-18,NA,-1.23465014699162e-17,1.55029648187018e-17,2020-05-20,803,NA,978.483905537826,NA
"C.1.2",18402,7.13245453626528e-53,1.01085804452097e-51,NA,-1.90992081538104e-51,2.05256990610635e-51,2020-05-20,803,NA,978.483905537826,NA
