"date_num","variant","prob","date","totcases","cases","smoothed_totcases","smoothed_cases","totinfections","infections","cuminfections","cuminfectionsperpop"
18879,"Beta",0.00211574110466173,2021-09-09,6268,13.2614652440197,5354.77365705913,11.3293147323998,128366.997341798,271.591332758045,14857067.6692288,24.4954881801915
18879,"Alpha",0.000169590560912144,2021-09-09,6268,1.06299363579732,5354.77365705913,0.908119068058229,128366.997341798,21.7698310818032,387609.510506833,0.639068515708175
18879,"Other",0.0362685761700402,2021-09-09,6268,227.331435433812,5354.77365705913,194.210016254374,128366.997341798,4655.68822081035,12165902.1211835,20.0584474840914
18879,"Delta",0.961067079184944,2021-09-09,6268,6023.96845233123,5354.77365705913,5146.2966782863,128366.997341798,123369.295199023,16889958.2381393,27.8472025299556
18879,"Omicron (BA.1)",0.000332953287765761,2021-09-09,6268,2.08695120771579,5354.77365705913,1.78288949435932,128366.997341798,42.7402138055702,291.564682799745,0.000480715266315616
18879,"Omicron (BA.2)",1.22457512884034e-11,2021-09-09,6268,NA,5354.77365705913,NA,128366.997341798,0,0,0
18879,"Omicron (BA.3)",4.59358553354628e-05,2021-09-09,6268,0.287925941242681,5354.77365705913,0.245976108064816,128366.997341798,5.89664781974057,59.0073735270886,9.72880014385755e-05
18879,"Omicron (BA.5)",2.32666416233961e-08,2021-09-09,6268,NA,5354.77365705913,NA,128366.997341798,0.00298666892342305,0.019349395762153,3.19021832395187e-08
18880,"Omicron (BA.4)",1.16892408196405e-07,2021-09-10,5885,NA,5056.97118993339,NA,123305.203320844,0.0144134421593208,0.117264163371777,1.9333848319091e-07
18880,"Beta",0.00201437110665875,2021-09-10,5885,11.8545739626868,5056.97118993339,10.1866166522076,123305.203320844,248.382438870191,14857316.0516676,24.49589769903
18880,"Alpha",0.000158577566825807,2021-09-10,5885,0.933228980769875,5056.97118993339,0.801922186807845,123305.203320844,19.5534391195809,387629.063945953,0.639100754306497
18880,"Other",0.0367534788673468,2021-09-10,5885,216.294223134336,5056.97118993339,185.861283761999,123305.203320844,4531.89518448655,12170434.016368,20.0659194151209
18880,"Delta",0.960623038294573,2021-09-10,5885,5653.26658036356,5056.97118993339,4857.84302904194,123305.203320844,118449.8190516,17008408.0571909,28.0424958547975
18880,"Omicron (BA.1)",0.000398361720202181,2021-09-10,5885,2.34435872338983,5056.97118993339,2.01450374223474,123305.203320844,49.1200729047712,340.684755704516,0.000561701648826414
18880,"Omicron (BA.2)",1.79035933845491e-11,2021-09-10,5885,NA,5056.97118993339,NA,123305.203320844,0,0,0
18880,"Omicron (BA.3)",5.20287475523203e-05,2021-09-10,5885,0.306189179345405,5056.97118993339,0.263107877420402,123305.203320844,6.41541529546774,65.4227888225563,0.000107865373302246
18880,"Omicron (BA.5)",2.67865293805941e-08,2021-09-10,5885,NA,5056.97118993339,NA,123305.203320844,0.00330291845153392,0.0226523142136869,3.73478473295635e-08
18881,"Omicron (BA.4)",1.35836372014008e-07,2021-09-11,5309,NA,4766.81798318363,NA,118266.234208977,0.0160648561867063,0.133329019558483,2.19825304385982e-07
18881,"Beta",0.00191816208896201,2021-09-11,5309,10.1835225302993,4766.81798318363,9.14352954032518,118266.234208977,226.853806863961,14857542.9054745,24.4962717226845
18881,"Alpha",0.000148267011781135,2021-09-11,5309,0.787149565546048,4766.81798318363,0.706761858071216,118266.234208977,17.5349811407729,387646.598927094,0.639129664986104
18881,"Other",0.0372613044604704,2021-09-11,5309,197.820265380637,4766.81798318363,177.617856179051,118266.234208977,4406.75416025398,12174840.7705283,20.073185020747
18881,"Delta",0.960137235449956,2021-09-11,5309,5097.36858300382,4766.81798318363,4576.79944026707,118266.234208977,113551.815160484,17121959.8723514,28.2297136293967
18881,"Omicron (BA.1)",0.000475973641819626,2021-09-11,5309,2.52694406442039,4766.81798318363,2.2688797153472,118266.234208977,56.2916102007394,396.976365905256,0.000654512054151016
18881,"Omicron (BA.2)",2.61071139593791e-11,2021-09-11,5309,NA,4766.81798318363,NA,118266.234208977,0,0,0
18881,"Omicron (BA.3)",5.88906515005595e-05,2021-09-11,5309,0.312650468816471,4766.81798318363,0.280721016614267,118266.234208977,6.9647755830844,72.3875644056407,0.000119348499163379
