"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"B.1.351",18678,"East Midlands",0.001,0.00015583856528575,NA,0.001,0.001,2021-02-20
"P.1",18678,"East Midlands",0.001,6.06507053001538e-06,NA,0.001,0.001,2021-02-20
"B.1.617.1",18678,"East Midlands",0.001,8.50889083888506e-10,NA,0.001,0.001,2021-02-20
"B.1.617.2",18678,"East Midlands",0.001,2.59541964032867e-08,NA,0.001,0.001,2021-02-20
"B.1.1.7",18682,"East Midlands",0.981669251480221,0.000823486011900366,NA,0.980055248555124,0.983283254405319,2021-02-24
"other",18682,"East Midlands",0.00702244565079498,0.00037752797259384,NA,0.00628250442135463,0.00776238688023533,2021-02-24
"B.1.177+",18682,"East Midlands",0.0104742278173939,0.000554534825100673,NA,0.00938735953202337,0.0115610961027644,2021-02-24
"B.1.525",18682,"East Midlands",0.001,8.8064097792892e-05,NA,0.001,0.001,2021-02-24
"B.1.351",18682,"East Midlands",0.001,0.000171090029183206,NA,0.001,0.00101145510583877,2021-02-24
"P.1",18682,"East Midlands",0.001,8.03063642996068e-06,NA,0.001,0.001,2021-02-24
"B.1.617.1",18682,"East Midlands",0.001,5.97352738001136e-09,NA,0.001,0.001,2021-02-24
"B.1.617.2",18682,"East Midlands",0.001,7.82426777368553e-08,NA,0.001,0.001,2021-02-24
"B.1.1.7",18686,"East Midlands",0.984391350687915,0.000712993269906514,NA,0.982993909557678,0.985788791818151,2021-02-28
"other",18686,"East Midlands",0.00650859116736778,0.000351783837769117,NA,0.00581910751499703,0.00719807481973853,2021-02-28
"B.1.177+",18686,"East Midlands",0.00818711648429593,0.000452030269604353,NA,0.00730115343594947,0.00907307953264239,2021-02-28
"B.1.525",18686,"East Midlands",0.001,9.40461775525974e-05,NA,0.001,0.001,2021-02-28
"B.1.351",18686,"East Midlands",0.001,0.000187057711294501,NA,0.001,0.00110834698065715,2021-02-28
"P.1",18686,"East Midlands",0.001,1.05162618645353e-05,NA,0.001,0.001,2021-02-28
"B.1.617.1",18686,"East Midlands",0.001,3.52043465593956e-08,NA,0.001,0.001,2021-02-28
"B.1.617.2",18686,"East Midlands",0.001,2.21300700840279e-07,NA,0.001,0.001,2021-02-28
"B.1.1.7",18690,"East Midlands",0.986474027251162,0.000631326974705275,NA,0.985236649118271,0.987711405384053,2021-03-04
"other",18690,"East Midlands",0.00610695062727849,0.000332110436247251,NA,0.00545602613334399,0.00675787512121298,2021-03-04
"B.1.177+",18690,"East Midlands",0.00642245504588444,0.000370970478675892,NA,0.0056953662683521,0.00714954382341677,2021-03-04
"B.1.525",18690,"East Midlands",0.001,0.000100086867307013,NA,0.001,0.001,2021-03-04
"B.1.351",18690,"East Midlands",0.001,0.000203700757857162,NA,0.001,0.00120969315487633,2021-03-04
"P.1",18690,"East Midlands",0.001,1.36209207875826e-05,NA,0.001,0.001,2021-03-04
"B.1.617.1",18690,"East Midlands",0.001,1.75367974623002e-07,NA,0.001,0.001,2021-03-04
"B.1.617.2",18690,"East Midlands",0.001,5.88317087244516e-07,NA,0.001,0.001,2021-03-04
"B.1.1.7",18694,"East Midlands",0.98805814282399,0.00057299504795832,NA,0.986935093166672,0.989181192481308,2021-03-08
"other",18694,"East Midlands",0.00579883202257227,0.000317652091495338,NA,0.00517624536362759,0.00642141868151695,2021-03-08
"B.1.177+",18694,"East Midlands",0.0050561805522168,0.00030639041061986,NA,0.00445566638219344,0.00565669472224017,2021-03-08
"B.1.525",18694,"East Midlands",0.001,0.000106171907830428,NA,0.001,0.001,2021-03-08
"B.1.351",18694,"East Midlands",0.001,0.000220977039079463,NA,0.001,0.00131537582760786,2021-03-08
"P.1",18694,"East Midlands",0.001,1.74489052720238e-05,NA,0.001,0.001,2021-03-08
"B.1.617.1",18694,"East Midlands",0.001,7.43478363311949e-07,NA,0.001,0.001,2021-03-08
"B.1.617.2",18694,"East Midlands",0.001,1.47252788964258e-06,NA,0.001,0.001,2021-03-08
"B.1.1.7",18698,"East Midlands",0.989246418794231,0.000533627800710409,NA,0.988200527523689,0.990292310064772,2021-03-12
"other",18698,"East Midlands",0.00557003196080652,0.000307773808306688,NA,0.00496680638114068,0.00617325754047236,2021-03-12
"B.1.177+",18698,"East Midlands",0.00399455276444685,0.000254535042021857,NA,0.00349567324928062,0.00449343227961307,2021-03-12
"B.1.525",18698,"East Midlands",0.001,0.000112287937276657,NA,0.001,0.001,2021-03-12
"B.1.351",18698,"East Midlands",0.001,0.000238846561589931,NA,0.001,0.00142526494688134,2021-03-12
"P.1",18698,"East Midlands",0.001,2.21060279650708e-05,NA,0.001,0.001,2021-03-12
"B.1.617.1",18698,"East Midlands",0.001,2.70103886378707e-06,NA,0.001,0.001,2021-03-12
"B.1.617.2",18698,"East Midlands",0.001,3.47555000507595e-06,NA,0.001,0.001,2021-03-12
"B.1.1.7",18702,"East Midlands",0.990107446866056,0.000509729926266282,NA,0.989108394568732,0.991106499163381,2021-03-16
"other",18702,"East Midlands",0.00540981954347675,0.000302020514488768,NA,0.00481787021248651,0.00600176887446699,2021-03-16
"B.1.177+",18702,"East Midlands",0.00316661370011617,0.000212566703961605,NA,0.00274999061603904,0.00358323678419331,2021-03-16
"B.1.525",18702,"East Midlands",0.001,0.000118422567094765,NA,0.001,0.001,2021-03-16
