"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Beta",18595,0.0019358416902663,0.000650791176760934,NA,0.000660314422358431,0.00321136895817417,2020-11-29
"Gamma",18595,6.41919728648117e-06,3.48412009247201e-06,NA,-4.0955261257633e-07,1.32479471855387e-05,2020-11-29
"Delta",18595,1.80187266459423e-08,1.71946701926324e-08,NA,-1.56822076576615e-08,5.17196609495462e-08,2020-11-29
"Omicron (BA.2)",18595,1.81642706278565e-79,1.23362177635265e-78,NA,-2.23621154591696e-78,2.59949695847409e-78,2020-11-29
"Omicron (BA.3)",18595,1.83429992840349e-46,7.11775612209013e-45,NA,-1.37671156571958e-44,1.41339756428765e-44,2020-11-29
"Omicron (BA.1.1, with S:R346K)",18595,6.11651317289398e-58,2.71945080177774e-57,NA,-4.71837431192355e-57,5.94167694650235e-57,2020-11-29
"Omicron (BA.4)",18595,1.17063348774006e-19,4.75101908276268e-19,NA,-8.14119280433731e-19,1.04824597798174e-18,2020-11-29
"Omicron (BA.5)",18595,6.42336917629017e-47,3.05401776179633e-46,NA,-5.34342790363742e-46,6.62810173889545e-46,2020-11-29
"Omicron (BA.1)",18602,7.51977260775325e-43,2.91262834436151e-42,NA,-4.95666939452376e-42,6.46062391607441e-42,2020-12-06
"Other",18602,0.961863142876392,0.0041814091437541,NA,0.953667731550008,0.970058554202777,2020-12-06
"Alpha",18602,0.0346305726344973,0.00388164291196528,NA,0.0270226923262001,0.0422384529427944,2020-12-06
"Beta",18602,0.00348903041414705,0.00102642894276635,NA,0.00147726665363548,0.00550079417465863,2020-12-06
"Gamma",18602,1.72072969156822e-05,8.42183225470502e-06,NA,7.00809012622556e-07,3.37137848187417e-05,2020-12-06
"Delta",18602,4.67780476474454e-08,4.1761808429078e-08,NA,-3.50735928028087e-08,1.28629688097699e-07,2020-12-06
"Omicron (BA.2)",18602,4.08671706456446e-79,2.7838948348819e-78,NA,-5.04766190665915e-78,5.86500531957205e-78,2020-12-06
"Omicron (BA.3)",18602,1.19617800882083e-46,4.65173666120577e-45,NA,-8.99761852064582e-45,9.23685412240999e-45,2020-12-06
"Omicron (BA.1.1, with S:R346K)",18602,2.46208319855539e-58,1.10061102744879e-57,NA,-1.91094965493171e-57,2.40336629464279e-57,2020-12-06
"Omicron (BA.4)",18602,6.93889752572888e-19,2.83213846173397e-18,NA,-4.85699963165636e-18,6.24477913680214e-18,2020-12-06
"Omicron (BA.5)",18602,1.54609598141091e-46,7.41264700284073e-46,NA,-1.29824251742657e-45,1.60746171370875e-45,2020-12-06
"Omicron (BA.1)",18609,4.39276028613924e-43,1.70791474240526e-42,NA,-2.90817535516539e-42,3.78672741239324e-42,2020-12-13
"Other",18609,0.939739705177883,0.00565048363199914,NA,0.928664960763932,0.950814449591835,2020-12-13
"Alpha",18609,0.0541810230195946,0.00520697917087131,NA,0.0439755313764366,0.0643865146627526,2020-12-13
"Beta",18609,0.00603502663137856,0.00153534050645658,NA,0.00302581453471817,0.00904423872803895,2020-12-13
"Gamma",18609,4.41269270908419e-05,1.93510676126532e-05,NA,6.19953150764208e-06,8.20543226740417e-05,2020-12-13
"Delta",18609,1.18244052712205e-07,9.85039141761726e-08,NA,-7.48200714093179e-08,3.11308176833727e-07,2020-12-13
"Omicron (BA.2)",18609,1.02903074180042e-78,7.0239811650144e-78,NA,-1.27377193697155e-77,1.47957808533163e-77,2020-12-13
"Omicron (BA.3)",18609,8.58308858024598e-47,3.34184614505851e-45,NA,-6.46406720038624e-45,6.63572897199116e-45,2020-12-13
"Omicron (BA.1.1, with S:R346K)",18609,1.14851396335172e-58,5.15613415546197e-58,NA,-8.95732328081058e-58,1.1254351207514e-57,2020-12-13
"Omicron (BA.4)",18609,3.88813361193029e-18,1.5944070530742e-17,NA,-2.73616703952905e-17,3.5137937619151e-17,2020-12-13
"Omicron (BA.5)",18609,3.80934036519353e-46,1.84072687515409e-45,NA,-3.22682434415763e-45,3.98869241719633e-45,2020-12-13
"Omicron (BA.1)",18616,2.85417330342156e-43,1.11266379163056e-42,NA,-1.89536362815551e-42,2.46619828883982e-42,2020-12-20
"Other",18616,0.907582349977338,0.00725545554730529,NA,0.893361918413188,0.921802781541487,2020-12-20
"Alpha",18616,0.0823395815525992,0.00665340980872008,NA,0.0692991379531224,0.0953800251520761,2020-12-20
"Beta",18616,0.00996996320870363,0.00216350599773644,NA,0.0057295693728038,0.0142103570446035,2020-12-20
"Gamma",18616,0.000107815282571898,4.20626711861219e-05,NA,2.53739619535487e-05,0.000190256603190248,2020-12-20
"Delta",18616,2.89978787622927e-07,2.24784737626328e-07,NA,-1.50591202398961e-07,7.30548777644816e-07,2020-12-20
"Omicron (BA.2)",18616,2.89875962468716e-78,1.98060252685472e-77,NA,-3.59203365785555e-77,4.17178558279298e-77,2020-12-20
"Omicron (BA.3)",18616,6.77079220131455e-47,2.63678448775667e-45,NA,-5.10029470898383e-45,5.23571055301012e-45,2020-12-20
"Omicron (BA.1.1, with S:R346K)",18616,6.21190802997989e-59,2.79746314979475e-58,NA,-4.86173621867769e-58,6.10411782467367e-58,2020-12-20
"Omicron (BA.4)",18616,2.05173391451596e-17,8.44468604141497e-17,NA,-1.44995465874055e-16,1.86030144164374e-16,2020-12-20
"Omicron (BA.5)",18616,9.58033433231703e-46,4.66336397364874e-45,NA,-8.18199200192142e-45,1.00980588683848e-44,2020-12-20
"Omicron (BA.1)",18623,2.06060192413368e-43,8.04502776921019e-43,NA,-1.37073627581429e-42,1.78285666064103e-42,2020-12-27
"Other",18623,0.86308923068661,0.00876969959635537,NA,0.845900935322518,0.880277526050702,2020-12-27
"Alpha",18623,0.121011992693226,0.00803348774302584,NA,0.105266646046651,0.1367573393398,2020-12-27
"Beta",18623,0.0156482771764584,0.00285254149219694,NA,0.0100573985873462,0.0212391557655705,2020-12-27
"Gamma",18623,0.000249812371379319,8.60188904455729e-05,NA,8.12184441158994e-05,0.000418406298642738,2020-12-27
"Delta",18623,6.87072326654855e-07,4.94113117331662e-07,NA,-2.81371587604016e-07,1.65551624091373e-06,2020-12-27
"Omicron (BA.2)",18623,9.12699973635476e-78,6.23571597997069e-77,NA,-1.1309078764928e-76,1.31344787121989e-76,2020-12-27
