"DATE_NUM","LINEAGE","prob","collection_date","totcases","cases","smoothed_totcases","smoothed_cases"
18655,"Other",0.513891542500787,2021-01-28,2546,1308.367867207,4085.89824280158,2099.70855049456
18656,"Other",0.50169952224133,2021-01-29,2939,1474.49489586727,4058.209006554,2036.0015197436
18657,"Other",0.489606488802857,2021-01-30,1549,758.400451155625,4029.30882504706,1972.77574613366
18658,"Other",0.477626412311904,2021-01-31,843,402.639065578935,4000.28212124107,1910.64039780382
18659,"Other",0.465772502528741,2021-02-01,3299,1536.58348584232,3972.18301034997,1850.13362123286
18660,"Other",0.454057169271277,2021-02-02,2615,1187.35949764439,3946.03634303569,1791.72609176037
18661,"Other",0.442491991289286,2021-02-03,2356,1042.51113147756,3922.84145096836,1735.82592515114
18662,"Other",0.431087693429402,2021-02-04,2361,1017.79804418682,3903.57847728134,1682.78464189187
18663,"Other",0.419854131819285,2021-02-05,2411,1012.2683118163,3889.21721100794,1632.90391558436
18664,"Other",0.40880028670114,2021-02-06,1256,513.453160096631,3880.72839936622,1586.44288227017
18665,"Other",0.39793426246224,2021-02-07,594,236.37295190257,3879.0975845257,1543.62583631729
18666,"Other",0.387263294342838,2021-02-08,2541,984.036030925152,3885.24389300197,1504.61234932934
18667,"Other",0.376793761250113,2021-02-09,2108,794.281248715237,3899.17219429843,1469.18375685156
18668,"Other",0.36653120407093,2021-02-10,2111,773.747371793733,3920.38402851556,1436.94307839225
18669,"Other",0.356480348853853,2021-02-11,2052,731.497675848106,3948.40504202074,1407.52880679587
18670,"Other",0.346645134222281,2021-02-12,1999,692.943623310339,3982.78164258206,1380.61187707089
18671,"Other",0.337028742384059,2021-02-13,1123,378.483277697298,4023.07223080519,1355.8909744685
18672,"Other",0.327633633116474,2021-02-14,593,194.286744438069,4068.83913391966,1333.08854801258
18673,"Other",0.318461580128528,2021-02-15,2727,868.444729010496,4119.64115796963,1311.94743272953
18674,"Other",0.309513709232324,2021-02-16,2382,737.261655391395,4175.02670441636,1292.22800142791
18675,"Other",0.300790537791713,2021-02-17,2525,759.496107924075,4234.52742430892,1273.70578125164
18676,"Other",0.292292014956433,2021-02-18,2556,747.098390228642,4297.6524080284,1256.16948192498
18677,"Other",0.284017562233541,2021-02-19,2811,798.373367438484,4363.88293145782,1239.41939206521
18678,"Other",0.275966113993132,2021-02-20,1555,429.127307259321,4432.66780039781,1223.26610749827
18679,"Other",0.268136157551043,2021-02-21,805,215.84960682859,4503.41935409326,1207.52956144757
18680,"Other",0.260525772516818,2021-02-22,3338,869.635028661138,4575.51020566529,1192.03833098953
18681,"Other",0.253132669139658,2021-02-23,2918,738.641128549523,4648.27081172522,1176.62919745597
18682,"Other",0.245954225427669,2021-02-24,2750,676.37411992609,4720.99518953158,1161.14871508899
18683,"Other",0.238987522856053,2021-02-25,2644,631.883010431405,4793.28213468682,1145.53462371898
18684,"Other",0.232229380517691,2021-02-26,2800,650.242265449534,4865.20885444304,1129.84443835649
18685,"Other",0.225676387604092,2021-02-27,1487,335.580788367285,4936.89849716401,1114.14141880805
18686,"Other",0.219324934136644,2021-02-28,711,155.940028171154,5008.48380858482,1098.48538144231
18687,"Other",0.213171239896121,2021-03-01,3211,684.492851306443,5080.10710453987,1082.93273027985
18688,"Other",0.207211381524026,2021-03-02,2757,571.281778861739,5151.92028044292,1067.53651881222
18689,"Other",0.2014413177913,2021-03-03,2752,554.366506561658,5224.08486309067,1052.34653907457
18690,"Other",0.195856913049138,2021-03-04,2682,525.288240797787,5296.77211040682,1037.40943466904
18691,"Other",0.190453958892831,2021-03-05,2731,520.129761736323,5370.16316482535,1022.76883464144
18692,"Other",0.185228194083353,2021-03-06,1510,279.694573065863,5444.44926613823,1008.46550534522
18693,"Other",0.180175322782396,2021-03-07,786,141.617803706963,5519.83202981144,994.537517675883
18694,"Other",0.175291031165466,2021-03-08,3685,645.947449844742,5596.52379701214,981.020427320327
18695,"Other",0.170571002484672,2021-03-09,3381,576.700559400677,5674.74806289819,967.947465936495
18696,"Other",0.166010930657627,2021-03-10,3387,562.279022137382,5754.7399901062,955.349741450191
18697,"Other",0.161606532462436,2021-03-11,3493,564.491617891289,5836.74701484831,943.256445930109
